id,lat,lon,h3_index
413317730,41.7013,44.7541,892c2aab04fffff
460360096,41.701,44.7533,892c2aab043ffff
503287217,41.7071,44.7717,892c2aab383ffff
761234048,41.7272,44.7593,892c2aab19bffff
887921624,41.7059,44.7795,892c2aab317ffff
902319190,41.6923,44.8069,892c2aa9557ffff
916900407,41.7038,44.7897,892c2aab32bffff
996390210,41.6855,44.8396,892c2aa9147ffff
1048002804,41.7289,44.7636,892c2aab183ffff
1069129653,41.7232,44.7731,892c2aab10bffff
1108958562,41.7285,44.7174,892c2ab9b4fffff
1213556111,41.7246,44.7292,892c2aab5dbffff
1316155980,41.6963,44.6985,892c2a169cfffff
1316164024,41.626,44.9599,892c2a0498bffff
1316164028,41.6235,44.9507,892c2a04d6fffff
1316164036,41.6341,44.9553,892c2a3325bffff
1442529560,41.7106,44.7692,892c2aab397ffff
1447717205,41.7272,44.765,892c2aab18bffff
1535474791,41.7093,44.7611,892c2aab02bffff
1573658031,41.7041,44.784,892c2aab30fffff
1616067219,41.7025,44.7919,892c2aab367ffff
1640116358,41.7884,44.7664,892c2aaa183ffff
1645484540,41.7264,44.7514,892c2aab563ffff
1657593288,41.7143,44.7931,892c2aa86cfffff
1690066807,41.7095,44.7679,892c2aab393ffff
1690070391,41.709,44.7707,892c2aab383ffff
1720402916,41.7094,44.7413,892c2aab0d7ffff
1894583683,41.7251,44.7442,892c2aab547ffff
1968146223,41.7133,44.7951,892c2aa8653ffff
1973756364,41.6988,44.8071,892c2aa9503ffff
1992204276,41.7079,44.7824,892c2aab3abffff
2034544085,41.6921,44.7982,892c2aa95c3ffff
2101195737,41.8381,44.7041,892c2aa320fffff
2113874980,41.7244,44.7509,892c2aab57bffff
2122356283,41.6926,44.8064,892c2aa9557ffff
2322880874,41.7217,44.77,892c2aab11bffff
2329089875,41.7099,44.7535,892c2aab003ffff
2442215659,41.731,44.8308,892c2aa8063ffff
2556772804,41.6926,44.8257,892c2aa91d7ffff
2813131208,41.6951,44.7866,892c2aab37bffff
2822111818,41.7224,44.7869,892c2aa869bffff
2861328276,41.7286,44.7764,892c2aab133ffff
2866506018,41.7151,44.7937,892c2aa86cfffff
2891332695,41.7049,44.791,892c2aab32bffff
2958331057,41.7014,44.7939,892c2aab367ffff
2958736457,41.7071,44.7755,892c2aab38fffff
2989015851,41.6958,44.8066,892c2aa951bffff
2989450896,41.6903,44.8075,892c2aa9543ffff
2990413154,41.6904,44.8086,892c2aa9543ffff
2990413155,41.6905,44.8086,892c2aa9543ffff
2990413161,41.6903,44.8089,892c2aa9543ffff
2990413164,41.6904,44.8085,892c2aa9543ffff
3417120428,41.7089,44.7976,892c2aa865bffff
3614843393,41.842,44.7229,892c2aa1487ffff
3656955861,41.693,44.8043,892c2aa95cfffff
3694378185,41.6959,44.7961,892c2aa95d7ffff
3770163782,41.7106,44.779,892c2aab3bbffff
3770167657,41.7096,44.7767,892c2aab3bbffff
3779480427,41.7012,44.7536,892c2aab043ffff
3803589926,41.6913,44.8316,892c2aa9113ffff
3872561836,41.7255,44.7572,892c2aab56fffff
3872570720,41.7074,44.7987,892c2aa864bffff
4032003789,41.6918,44.7999,892c2aa95cbffff
4054032907,41.7201,44.7757,892c2aab173ffff
4103266289,41.706,44.7778,892c2aab317ffff
4176704516,41.7224,44.7709,892c2aab10bffff
4327071592,41.7213,44.7652,892c2aab1cfffff
4330465793,41.6897,44.7956,892c2aa9437ffff
4332033693,41.7089,44.7626,892c2aab02bffff
4345563889,41.7107,44.7966,892c2aa8653ffff
4349443990,41.6921,44.7984,892c2aa95cbffff
4364586789,41.6931,44.8032,892c2aa95cfffff
4389632796,41.7095,44.77,892c2aab383ffff
4396067290,41.7064,44.7832,892c2aab307ffff
4396101391,41.7059,44.7838,892c2aab307ffff
4396379389,41.7056,44.7801,892c2aab317ffff
4397497290,41.7027,44.7917,892c2aab32bffff
4405768690,41.7064,44.7894,892c2aab323ffff
4458340392,41.6927,44.8056,892c2aa9557ffff
4467281091,41.7269,44.7733,892c2aab107ffff
4516696812,41.7064,44.7765,892c2aab38fffff
4624769789,41.7222,44.7713,892c2aab10bffff
4629119790,41.7264,44.7293,892c2aab5dbffff
4716088196,41.6901,44.8275,892c2aa91c7ffff
4718071944,41.6909,44.827,892c2aa91d7ffff
4758326324,41.6955,44.8065,892c2aa951bffff
4811518225,41.6932,44.8053,892c2aa9557ffff
4836938421,41.7,44.7959,892c2aa959bffff
4921658724,41.7084,44.7644,892c2aab067ffff
4921659222,41.708,44.7643,892c2aab067ffff
4941549723,41.6831,44.8411,892c2aa914fffff
4941560021,41.6809,44.8376,892c2aa914bffff
5018298221,41.7324,44.7378,892c2aab513ffff
5044957525,41.6994,44.8001,892c2aa958bffff
5073699627,41.7091,44.7955,892c2aa865bffff
5075618333,41.7089,44.7547,892c2aab00fffff
5080786823,41.7235,44.7408,892c2aab553ffff
5101112223,41.843,44.7219,892c2aa334bffff
5178117823,41.7173,44.7756,892c2aab14fffff
5210270238,41.697,44.7964,892c2aa95d7ffff
5221165922,41.708,44.7835,892c2aab3abffff
5251852224,41.6925,44.801,892c2aa95cfffff
5304005987,41.6888,44.8074,892c2aa9543ffff
5307339714,41.6938,44.7973,892c2aa95c3ffff
5357321719,41.709,44.8029,892c2aa864fffff
